topic,topic_name,top_words
0,Political consequences and party power,"year, upnd, next, never, jail, tell, vote, going, security, party, communication, way"
1,Cybersecurity governance and public trust,"security, power, citizen, issue, apa, trust, protect, everything, support, parliament, dictatorship, digital"
2,"Support, opposition and presidential leadership","social, president, citizen, move, security, against, insult, bad, opposition, use, information, become"
3,"Legal offences, sections and imprisonment","section, imprisonment, crime, someone, offence, phone, year, information, yr, mean, conversation, police"
4,"Personal disputes, phones and enforcement","prison, awe, ati, talk, guy, evidence, phone, lawyer, someone, money, without, year"
5,Party politics and general political commentary,"upnd, party, sir, life, president, today, problem, many, god, give, voted, politics"
6,"Freedom of expression, rights and privacy","freedom, right, social, others, speech, insult, done, insulting, sanity, expression, president, privacy"
