topic,top_words
0,"year, upnd, next, never, jail, tell, vote, going, security, party, communication, way"
1,"security, power, citizen, issue, apa, trust, protect, everything, support, parliament, dictatorship, digital"
2,"social, president, citizen, move, security, against, insult, bad, opposition, use, information, become"
3,"section, imprisonment, crime, someone, offence, phone, year, information, yr, mean, conversation, police"
4,"prison, awe, ati, talk, guy, evidence, phone, lawyer, someone, money, without, year"
5,"upnd, party, sir, life, president, today, problem, many, god, give, voted, politics"
6,"freedom, right, social, others, speech, insult, done, insulting, sanity, expression, president, privacy"
